[2025-04-10 11:22:35.160] [PSS] [error] [16300|14596]streaming_driver_interface_impl.cpp:115 SetTrackingOrigin: streaming not started, this= 0x208685669c0
[2025-04-10 11:22:35.160] [PSS] [info] [16300|14596]streaming_driver_interface_impl.cpp:24 ConnectToService: connect to service, client_id= kiMeqQmvFBFtHtzo, this= 0x208685669c0
[2025-04-10 11:22:35.160] [PSS] [info] [16300|14596]streaming_client_impl.cpp:25 ConnectToService: client_id= kiMeqQmvFBFtHtzo, name= 3D Engine, desp= StreamingSceneRender, this= 0x208cd823910
[2025-04-10 11:22:35.160] [PSS] [debug] [16300|28388]streaming_client_impl.cpp:137 InvokeConnectToService: connect to service through the network, port= 54000, this= 0x208cd823910
[2025-04-10 11:22:35.160] [PSS] [debug] [16300|28388]transport_client_tcp3.cpp:34 Start: buffer size(send\recv): 2097152\2097152, this= 0x207f6d4b6a0
[2025-04-10 11:22:35.160] [PSS] [info] [16300|28388]transport_client_tcp3.cpp:59 Start: server= 127.0.0.1:54000, local=0.0.0.0:0, this= 0x207f6d4b6a0
[2025-04-10 11:22:37.211] [PSS] [info] [16300|19544]streaming_client_impl.cpp:62 NotifyConnectResult: network connect to service result= 10061, this= 0x208cd823910
[2025-04-10 11:22:37.211] [PSS] [error] [16300|19544]streaming_client_impl.cpp:64 NotifyConnectResult: connect to service network error= 10061, this= 0x208cd823910
[2025-04-10 11:22:37.211] [PSS] [error] [16300|28388]streaming_driver_interface_impl.cpp:332 NotifyClientConnectResult: connect to service failed, Network Error, this= 0x208685669c0
[2025-04-10 11:22:37.211] [PSS] [error] [16300|19544]transport_client_tcp3.cpp:129 HandleConnect: connected error= 由于目标计算机积极拒绝，无法连接。, this= 0x207f6d4b6a0
[2025-04-10 11:34:14.649] [PSS] [debug] [16300|14596]streaming_driver_interface_impl.cpp:19 StreamingDriverInterfaceImpl: callback= 0x20894109bb0, this= 0x208685645b0
[2025-04-10 11:34:14.650] [PSS] [error] [16300|14596]streaming_driver_interface_impl.cpp:115 SetTrackingOrigin: streaming not started, this= 0x208685645b0
[2025-04-10 11:34:14.650] [PSS] [info] [16300|14596]streaming_driver_interface_impl.cpp:24 ConnectToService: connect to service, client_id= ZQ6ArbcXRZe8zQUF, this= 0x208685645b0
[2025-04-10 11:34:14.650] [PSS] [info] [16300|14596]streaming_client_impl.cpp:25 ConnectToService: client_id= ZQ6ArbcXRZe8zQUF, name= 3D Engine, desp= StreamingSceneRender, this= 0x208cd8236f0
[2025-04-10 11:34:14.650] [PSS] [debug] [16300|15804]streaming_client_impl.cpp:137 InvokeConnectToService: connect to service through the network, port= 54000, this= 0x208cd8236f0
[2025-04-10 11:34:14.650] [PSS] [debug] [16300|15804]transport_client_tcp3.cpp:34 Start: buffer size(send\recv): 2097152\2097152, this= 0x207f6d4b160
[2025-04-10 11:34:14.650] [PSS] [info] [16300|15804]transport_client_tcp3.cpp:59 Start: server= 127.0.0.1:54000, local=0.0.0.0:0, this= 0x207f6d4b160
[2025-04-10 11:34:16.698] [PSS] [info] [16300|20460]streaming_client_impl.cpp:62 NotifyConnectResult: network connect to service result= 10061, this= 0x208cd8236f0
[2025-04-10 11:34:16.698] [PSS] [error] [16300|20460]streaming_client_impl.cpp:64 NotifyConnectResult: connect to service network error= 10061, this= 0x208cd8236f0
[2025-04-10 11:34:16.699] [PSS] [error] [16300|20460]transport_client_tcp3.cpp:129 HandleConnect: connected error= 由于目标计算机积极拒绝，无法连接。, this= 0x207f6d4b160
[2025-04-10 11:34:16.699] [PSS] [error] [16300|15804]streaming_driver_interface_impl.cpp:332 NotifyClientConnectResult: connect to service failed, Network Error, this= 0x208685645b0
[2025-04-10 15:49:32.768] [PSS] [info] ***********  Log Begin **********
[2025-04-10 15:49:32.768] [PSS] [info] process id= 27936
[2025-04-10 15:49:32.768] [PSS] [debug] [27936|14344]streaming_driver_interface_impl.cpp:19 StreamingDriverInterfaceImpl: callback= 0x1fee3ff85d0, this= 0x1fec31626f0
[2025-04-10 15:49:32.768] [PSS] [error] [27936|14344]streaming_driver_interface_impl.cpp:115 SetTrackingOrigin: streaming not started, this= 0x1fec31626f0
[2025-04-10 15:49:32.768] [PSS] [info] [27936|14344]streaming_driver_interface_impl.cpp:24 ConnectToService: connect to service, client_id= pexrpcSRJp3Jvpog, this= 0x1fec31626f0
[2025-04-10 15:49:32.768] [PSS] [info] [27936|14344]streaming_client_impl.cpp:25 ConnectToService: client_id= pexrpcSRJp3Jvpog, name= 3D Engine, desp= StreamingSceneRender, this= 0x1ffa0631e50
[2025-04-10 15:49:32.769] [PSS] [debug] [27936|15720]streaming_client_impl.cpp:137 InvokeConnectToService: connect to service through the network, port= 54000, this= 0x1ffa0631e50
